,content,name
Ã–AMTC,"{""addr:city"": ""V\u00c3\u00b6lkermarkt"", ""addr:country"": ""AT"", ""addr:postcode"": ""9100"", ""brand"": ""\u00c3\u2013AMTC"", ""brand:wikidata"": ""Q306057"", ""contact:phone"": ""+43 4232 2388"", ""name"": ""\u00c3\u2013AMTC"", ""opening_hours"": ""Mo-Sa 08:00-17:00"", ""shop"": ""car_repair"", ""address"": ""Klagenfurter Stra\u00dfe 54, 9100 V\u00f6lkermarkt, Austria""}",Ã–AMTC
ARBÃ– Neunkirchen,"{""car_service"": ""breakdown;inspection"", ""club"": ""automobile"", ""contact:phone"": ""+43 50 123 2314"", ""name"": ""ARB\u00c3\u2013 Neunkirchen"", ""opening_hours"": ""Mo-Fr 08:00-12:00, 13:00-18:00; Sa 08:00-12:00"", ""operator"": ""ARB\u00c3\u2013"", ""phone"": ""050-123-2314"", ""shop"": ""car_repair"", ""source"": ""extrapolation"", ""website"": ""https://www.arboe.at/"", ""address"": ""Am Spitz 7, 2620 Neunkirchen, Austria""}",ARBÃ– Neunkirchen
Rimato,"{""addr:city"": ""Spielberg"", ""addr:country"": ""AT"", ""addr:housenumber"": ""18"", ""addr:postcode"": ""8724"", ""addr:street"": ""Poststra\u00c3\u0178e"", ""email"": ""office@rimato.at"", ""name"": ""Rimato"", ""opening_hours"": ""Mo-Fr 08:00-12:30,14:00-18:00; Sa 09:00-12:00"", ""phone"": ""43(0)351272662"", ""repair"": ""yes"", ""shop"": ""motorcycle"", ""website"": ""https://www.rimato.at/de"", ""address"": ""Poststra\u00dfe 18, 8724 Spielberg, Austria""}",Rimato
Kappl,"{""description"": ""buses, trucks"", ""name"": ""Kappl"", ""shop"": ""car_repair"", ""address"": ""L105, 7433 Mariasdorf, Austria""}",Kappl
KFZ - Wurm Anton GmbH,"{""addr:city"": ""Windorf"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""8054"", ""addr:street"": ""Gewerbering"", ""name"": ""KFZ - Wurm Anton GmbH"", ""shop"": ""car_repair"", ""address"": ""Gewerbering 1, 8054 Seiersberg-Pirka, Austria""}",KFZ - Wurm Anton GmbH
Regnemer,"{""addr:city"": ""Windorf"", ""addr:housenumber"": ""11"", ""addr:postcode"": ""8054"", ""addr:street"": ""Gewerbering"", ""name"": ""Regnemer"", ""shop"": ""car_repair"", ""address"": ""Premst\u00e4tter Stra\u00dfe 147, 8054 Seiersberg-Pirka, Austria""}",Regnemer
Auto Krainer,"{""name"": ""Auto Krainer"", ""shop"": ""car_repair"", ""address"": ""Auto Krainer GesmbH, V\u00f6lkermarkter Stra\u00dfe 184, Klagenfurt am W\u00f6rthersee, Carinthia 9020, Austria""}",Auto Krainer
ARBÃ– Eisenerz,"{""addr:city"": ""Eisenerz"", ""addr:housenumber"": ""12"", ""addr:postcode"": ""8790"", ""addr:street"": ""Vordernberger Stra\u00c3\u0178e"", ""car_service"": ""breakdown;inspection"", ""club"": ""automobile"", ""contact:email"": ""pz.eisenerz@arboe.at"", ""contact:phone"": ""+43 50 123-2603"", ""full_name"": ""ARB\u00c3\u2013 Auto-, Motor- u Radfahrerbund \u00c3\u2013sterreichs"", ""name"": ""ARB\u00c3\u2013 Eisenerz"", ""operator"": ""ARB\u00c3\u2013"", ""phone"": ""050-123-2603"", ""shop"": ""car_repair"", ""website"": ""https://www.arboe.at/"", ""address"": ""Vordernberger Stra\u00dfe 12, 8790 Eisenerz, Austria""}",ARBÃ– Eisenerz
Renault List,"{""addr:city"": ""Feistritz am Wechsel"", ""addr:country"": ""AT"", ""addr:housenumber"": ""364"", ""addr:place"": ""Feistritz am Wechsel"", ""addr:postcode"": ""2873"", ""at_bev:addr_date"": ""2020-10-01"", ""name"": ""Renault List"", ""operator"": ""Renault"", ""shop"": ""car_repair"", ""address"": ""Feistritz Am Wechsel 364, 2873 Feistritz am Wechsel, Austria""}",Renault List
ArbÃ¶ Aspang,"{""car_service"": ""breakdown"", ""name"": ""Arb\u00c3\u00b6 Aspang"", ""operator"": ""ARB\u00c3\u2013"", ""phone"": ""050-123-2302"", ""shop"": ""car_repair"", ""address"": ""H\u00f6ll 91, 2870 Aspangberg-St. Peter, Austria""}",ArbÃ¶ Aspang
ArbÃ¶ Heiligenkreuz,"{""addr:city"": ""Heiligenkreuz im Lafnitztal"", ""addr:housenumber"": ""35"", ""addr:postcode"": ""7561"", ""addr:street"": ""Hauptstra\u00c3\u0178e"", ""name"": ""Arb\u00c3\u00b6 Heiligenkreuz"", ""operator"": ""ARB\u00c3\u2013"", ""phone"": ""050-123-2102"", ""shop"": ""car_repair"", ""address"": ""Hauptstra\u00dfe 35, 7561 Heiligenkreuz im Lafnitztal, Austria""}",ArbÃ¶ Heiligenkreuz
Autoreparatur und -Handel Hrvoje Rabuzin,"{""name"": ""Autoreparatur und -Handel Hrvoje Rabuzin"", ""operator"": ""Hrvoje Rabuzin"", ""shop"": ""car_repair"", ""address"": ""Heiligenstadt 6, 8813 Sankt Lambrecht, Austria""}",Autoreparatur und -Handel Hrvoje Rabuzin
Toyota,"{""brand"": ""Toyota"", ""brand:wikidata"": ""Q53268"", ""brand:wikipedia"": ""en:Toyota"", ""name"": ""Toyota"", ""operator"": ""Scheikl"", ""shop"": ""car_repair"", ""address"": ""Leobner Stra\u00dfe 48, 8600 Bruck an der Mur, Austria""}",Toyota
Motorrad Klug,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""94"", ""addr:postcode"": ""8053"", ""addr:street"": ""Harter Stra\u00c3\u0178e"", ""brand"": ""Yamaha;Aprilia"", ""contact:email"": ""office@motorrad-klug.at"", ""contact:fax"": ""+43 316 278 558-18"", ""contact:phone"": ""+43 316 278 558"", ""motorcycle:parts"": ""yes"", ""motorcycle:repair"": ""yes"", ""motorcycle:sales"": ""yes"", ""motorcycle:tyres"": ""yes"", ""name"": ""Motorrad Klug"", ""opening_hours"": ""Mo-Fr 08:00-18:00; Sa 08:00-12:00"", ""operator"": ""Franz Klug"", ""service"": ""dealer;tyres;repair;parts;electrical"", ""shop"": ""motorcycle"", ""website"": ""http://klug.at"", ""address"": ""Harter Stra\u00dfe 94, 8053 Graz, Austria""}",Motorrad Klug
Mandler,"{""addr:housenumber"": ""3"", ""addr:postcode"": ""7551"", ""addr:street"": ""Wiener Stra\u00c3\u0178e"", ""brand"": ""Fiat"", ""name"": ""Mandler"", ""phone"": ""+43 3326 52372-0"", ""shop"": ""car_repair"", ""address"": ""Wiener Stra\u00dfe 3, 7551 Stegersbach, Austria""}",Mandler
Hirschmugl GmbH & Co KG,"{""addr:city"": ""Deutsch Goritz"", ""addr:housenumber"": ""78"", ""addr:place"": ""Deutsch Goritz"", ""addr:postcode"": ""8483"", ""name"": ""Hirschmugl GmbH & Co KG"", ""shop"": ""car_repair"", ""website"": ""http://www.Hirschmugl.eu"", ""address"": ""Deutsch Goritz 78, 8483 Deutsch Goritz, Austria""}",Hirschmugl GmbH & Co KG
Gady,"{""addr:city"": ""Leibnitz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""9"", ""addr:postcode"": ""8430"", ""addr:street"": ""Industriestra\u00c3\u0178e"", ""brand"": ""Suzuki;Opel"", ""name"": ""Gady"", ""opening_hours"": ""Mo-Th 07:30-12:00,13:00-16:45; Fr 07:30-12:00,13:00-16:30; Sa,Su,PH off"", ""operator"": ""Gady GmbH"", ""service"": ""dealer"", ""shop"": ""car_repair"", ""address"": ""Industriestra\u00dfe 9, 8430 Leibnitz, Austria""}",Gady
Grill,"{""name"": ""Grill"", ""shop"": ""car_repair"", ""wheelchair"": ""yes"", ""address"": ""Grazer Stra\u00dfe 56, 8605 Kapfenberg, Austria""}",Grill
ARBÃ–,"{""addr:city"": ""Weiz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""8160"", ""addr:street"": ""Grazer Stra\u00c3\u0178e"", ""car_service"": ""breakdown;inspection"", ""club"": ""automobile"", ""name"": ""ARB\u00c3\u2013"", ""shop"": ""car_repair"", ""address"": ""Grazer Stra\u00dfe 5, 8160 Weiz, Austria""}",ARBÃ–
Eggenberger Schuh- und SchlÃ¼sseldienst,"{""name"": ""Eggenberger Schuh- und Schl\u00c3\u00bcsseldienst"", ""opening_hours"": ""Mo-Fr 08:30-12:30,15:00-17:30; Th 08:30-12:30"", ""shop"": ""shoe_repair"", ""wheelchair"": ""no"", ""address"": ""Georgigasse 32, 8020 Graz, Austria""}",Eggenberger Schuh- und SchlÃ¼sseldienst
Otto,"{""addr:city"": ""Leoben"", ""addr:country"": ""AT"", ""addr:housenumber"": ""13"", ""addr:postcode"": ""8700"", ""addr:street"": ""Donawitzer Stra\u00c3\u0178e"", ""at_bev:addr_date"": ""2016-10-02"", ""name"": ""Otto"", ""opening_hours"": ""Mo, Th 9:00-12:00, 14:30-18:00"", ""repair"": ""yes"", ""shop"": ""bicycle"", ""source"": ""survey"", ""address"": ""Donawitzer Stra\u00dfe 13, 8700 Leoben, Austria""}",Otto
Peugeot Diener,"{""brand"": ""Peugeot"", ""brand:wikidata"": ""Q6742"", ""name"": ""Peugeot Diener"", ""shop"": ""car_repair"", ""address"": ""Hauptstra\u00dfe 34, 2650 Payerbach, Austria""}",Peugeot Diener
Autohaus FrÃ¶hlich,"{""addr:city"": ""Kirchbach in der Steiermark"", ""addr:country"": ""AT"", ""addr:housenumber"": ""100"", ""addr:place"": ""Kirchbach in Steiermark"", ""addr:postcode"": ""8082"", ""name"": ""Autohaus Fr\u00c3\u00b6hlich"", ""opening_hours"": ""Mo-Fr 07:30-12:00, 13:00-17:00"", ""operator"": ""Inh. Johann Stelzl"", ""phone"": ""+43 3116 2431"", ""service:vehicle:car_repair"": ""yes"", ""service:vehicle:car_sales"": ""yes"", ""service:vehicle:car_service"": ""yes"", ""shop"": ""car_repair"", ""website"": ""https://www.autohaus-froehlich.at/"", ""address"": ""Kirchbacher Bundesstra\u00dfe 100, 8082 Kirchbach-Zerlach, Austria""}",Autohaus FrÃ¶hlich
Auto Fruhmann,"{""addr:country"": ""AT"", ""addr:housenumber"": ""22"", ""addr:place"": ""Kirchbach in Steiermark"", ""addr:postcode"": ""8082"", ""name"": ""Auto Fruhmann"", ""phone"": ""+43664 2525237"", ""shop"": ""car_repair"", ""address"": ""Kirchbach In Steiermark 22, 8082 Kirchbach-Zerlach, Austria""}",Auto Fruhmann
ARBÃ– PrÃ¼fzentrum KÃ¶flach,"{""addr:city"": ""K\u00c3\u00b6flach"", ""addr:country"": ""AT"", ""addr:housenumber"": ""33"", ""addr:postcode"": ""8580"", ""addr:street"": ""Grazerstra\u00c3\u0178e"", ""car_service"": ""breakdown;inspection"", ""club"": ""automobile"", ""contact:email"": ""pz.koeflach@arboe.at"", ""contact:phone"": ""+43 50 123-2611"", ""name"": ""ARB\u00c3\u2013 Pr\u00c3\u00bcfzentrum K\u00c3\u00b6flach"", ""operator"": ""ARB\u00c3\u2013"", ""shop"": ""car_repair"", ""website"": ""https://www.arboe.at/steiermark/"", ""address"": ""Grazerstra\u00dfe 33, 8580 K\u00f6flach, Austria""}",ARBÃ– PrÃ¼fzentrum KÃ¶flach
KFZ JÃ¼rgen Heil,"{""addr:country"": ""AT"", ""addr:housenumber"": ""7"", ""addr:postcode"": ""8111"", ""addr:street"": ""Gewerbepark"", ""name"": ""KFZ J\u00c3\u00bcrgen Heil"", ""phone"": ""+433124 51616"", ""shop"": ""car_repair"", ""website"": ""http://www.kfz-heil.at"", ""address"": ""Gewerbepark 7, 8111 Gratwein-Stra\u00dfengel, Austria""}",KFZ JÃ¼rgen Heil
KFZ WerkstÃ¤tte Vogl,"{""name"": ""KFZ Werkst\u00c3\u00a4tte Vogl"", ""shop"": ""car_repair"", ""address"": ""Vogl KG, Bahnhofstra\u00dfe 9, Anger, Styria 8184, Austria""}",KFZ WerkstÃ¤tte Vogl
Ritzinger,"{""addr:city"": ""Eisenerz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""74"", ""addr:postcode"": ""8790"", ""addr:street"": ""Vordernberger Stra\u00c3\u0178e"", ""at_bev:addr_date"": ""2018-10-01"", ""contact:phone"": ""+43 3848 600 02"", ""name"": ""Ritzinger"", ""opening_hours"": ""Mo-Th 08:00-12:00, 13:00-17:00; Fr 08:00-12:00, 13:00-15:30"", ""shop"": ""car_repair"", ""website"": ""https://www.auto-ritzinger.at/"", ""address"": ""Vordernberger Stra\u00dfe 74, 8790 Eisenerz, Austria""}",Ritzinger
Hirschbeck Reifencenter,"{""addr:city"": ""Rohr im Burgenland"", ""addr:country"": ""AT"", ""addr:housenumber"": ""33"", ""addr:postcode"": ""7554"", ""addr:street"": ""Moorstra\u00c3\u0178e"", ""name"": ""Hirschbeck Reifencenter"", ""shop"": ""car_repair"", ""address"": ""Moorstra\u00dfe 33, 7551 Rohr im Burgenland, Austria""}",Hirschbeck Reifencenter
Autohaus Neubauer GesmbH,"{""addr:city"": ""Knittelfeld"", ""addr:country"": ""AT"", ""addr:housenumber"": ""24"", ""addr:postcode"": ""8720"", ""addr:street"": ""Wiener Stra\u00c3\u0178e"", ""brand"": ""Volkswagen"", ""brand:wikidata"": ""Q246"", ""brand:wikipedia"": ""en:Volkswagen"", ""name"": ""Autohaus Neubauer GesmbH"", ""shop"": ""car_repair;car"", ""address"": ""Wiener Stra\u00dfe 24, 8720 Knittelfeld, Austria""}",Autohaus Neubauer GesmbH
Vogl,"{""brand"": ""Renault"", ""name"": ""Vogl"", ""shop"": ""car_repair"", ""address"": ""Weblinger Stra\u00dfe 28, 8054 Graz, Austria""}",Vogl
Citroen,"{""addr:city"": ""Krieglach"", ""addr:country"": ""AT"", ""addr:housenumber"": ""13"", ""addr:postcode"": ""8670"", ""addr:street"": ""Grazer Stra\u00c3\u0178e"", ""at_bev:addr_date"": ""2017-04-07"", ""name"": ""Citroen"", ""shop"": ""car_repair"", ""address"": ""Grazer Stra\u00dfe 13, 8670 Krieglach, Austria""}",Citroen
Repair Copy,"{""addr:city"": ""Klagenfurt am W\u00c3\u00b6rthersee"", ""addr:country"": ""AT"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""9020"", ""addr:street"": ""Theatergasse"", ""check_date"": ""2023-01-05"", ""level"": ""0"", ""name"": ""Repair Copy"", ""opening_hours"": ""Mo-Fr 08:30-17:00"", ""shop"": ""copyshop"", ""wheelchair"": ""no"", ""address"": ""Theatergasse 2, 9020 Klagenfurt am W\u00f6rthersee, Austria""}",Repair Copy
Autohaus Partsch,"{""addr:city"": ""Neunkirchen"", ""addr:country"": ""AT"", ""addr:postcode"": ""2620"", ""contact:phone"": ""+43 2635 672 97"", ""name"": ""Autohaus Partsch"", ""opening_hours"": ""Mo-Fr 07:00-17:00; Sa 09:00-12:00"", ""shop"": ""car_repair"", ""website"": ""http://partsch.at/"", ""address"": ""Am Spitz 2, 2620 Neunkirchen, Austria""}",Autohaus Partsch
Autohaus Kaltenegger und Konrad,"{""addr:city"": ""Wei\u00c3\u0178kirchen in Steiermark"", ""addr:country"": ""AT"", ""addr:district"": ""Murtal"", ""addr:housenumber"": ""19"", ""addr:postcode"": ""8741"", ""addr:street"": ""Judenburgerstra\u00c3\u0178e"", ""name"": ""Autohaus Kaltenegger und Konrad"", ""shop"": ""car_repair"", ""website"": ""https://kal-kon.at/"", ""address"": ""Judenburger Stra\u00dfe 19, 8741 Wei\u00dfkirchen in Steiermark, Austria""}",Autohaus Kaltenegger und Konrad
Peindl,"{""brand"": ""Alfa Romeo;Renault;Dacia"", ""contact:phone"": ""+43 3332 639 63"", ""name"": ""Peindl"", ""opening_hours"": ""Mo-Fr 07:30-12:00,13:00-17:00; Sa 07:30-12:00"", ""service"": ""dealer;repair;tyres;parts"", ""shop"": ""car"", ""website"": ""https://www.peindl.at/"", ""address"": ""Ferdinand-Leihs-Stra\u00dfe 33, 8230 Hartberg, Austria""}",Peindl
Dieselfink,"{""name"": ""Dieselfink"", ""opening_hours"": ""Mo-Fr 07:45-12:00,13:00-16:30"", ""operator"": ""Peindl Franz"", ""shop"": ""car_repair"", ""address"": ""Ferdinand-Leihs-Stra\u00dfe 23, 8230 Hartberg, Austria""}",Dieselfink
Ebner,"{""brand"": ""VW;Audi;Skoda"", ""name"": ""Ebner"", ""opening_hours"": ""Mo-Fr 08:00-12:00,13:00-17:00;Sa 09:00-12:00"", ""service"": ""dealer;repair;tyres;parts"", ""shop"": ""car"", ""website"": ""http://www.auto-ebner.at/"", ""address"": ""Ressavarstra\u00dfe 76, 8230 Hartberg, Austria""}",Ebner
Mercedes-Benz KrÃ¶pfl,"{""addr:city"": ""Hartberg"", ""addr:country"": ""AT"", ""addr:housenumber"": ""18"", ""addr:postcode"": ""8230"", ""addr:street"": ""Raimund Obendrauf-Stra\u00c3\u0178e"", ""brand"": ""Mercedes-Benz;smart;Chrysler;Jeep;Dodge"", ""contact:phone"": ""+43 3332 635 00"", ""name"": ""Mercedes-Benz Kr\u00c3\u00b6pfl"", ""opening_hours"": ""Mo-Fr 08:00-18:00, Sa 09:00-12:00"", ""phone"": ""+43 3332 63500"", ""service"": ""dealer;repair;tyres;parts"", ""service:vehicle:car_repair"": ""yes"", ""service:vehicle:diagnostics"": ""yes"", ""service:vehicle:inspection"": ""yes"", ""service:vehicle:new_car"": ""yes"", ""service:vehicle:new_car_sales"": ""yes"", ""service:vehicle:oil_change"": ""yes"", ""service:vehicle:used_car_sales"": ""yes"", ""service:vehicle:wheels"": ""yes"", ""shop"": ""car"", ""website"": ""https://www.kroepfl.at/"", ""address"": ""Raimund Obendrauf-Stra\u00dfe 18, 8230 Hartberg, Austria""}",Mercedes-Benz KrÃ¶pfl
Kauer,"{""addr:city"": ""Hartberg"", ""addr:country"": ""AT"", ""addr:housenumber"": ""13"", ""addr:postcode"": ""8230"", ""addr:street"": ""Flurgasse"", ""at_bev:addr_date"": ""2019-10-01"", ""name"": ""Kauer"", ""opening_hours"": ""Mo-Th 07:00-12:00,13:00-17:00; Fr 07:00-12:00"", ""shop"": ""car_repair"", ""website"": ""http://www.kfz-kauer.at/"", ""address"": ""Flurgasse 13, 8230 Hartberg, Austria""}",Kauer
KFZ Doc,"{""name"": ""KFZ Doc"", ""shop"": ""car_repair"", ""address"": ""Seebacher Allee 27, 9524 Villach, Austria""}",KFZ Doc
Haazen Baerts,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""23"", ""addr:postcode"": ""8010"", ""addr:street"": ""M\u00c3\u00bcnzgrabenstra\u00c3\u0178e"", ""contact:phone"": ""+43 650 3925929"", ""name"": ""Haazen Baerts"", ""old_name"": ""Leopold Pilich"", ""opening_hours"": ""off"", ""shop"": ""bag"", ""shop:old"": ""shoe_repair"", ""source"": ""survey"", ""website"": ""www.haazenbaerts.com"", ""wheelchair"": ""no"", ""address"": ""M\u00fcnzgrabenstra\u00dfe 23, 8010 Graz, Austria""}",Haazen Baerts
Auto Jumper,"{""addr:city"": ""B\u00c3\u00a4rnbach"", ""addr:country"": ""AT"", ""addr:housenumber"": ""20"", ""addr:postcode"": ""8572"", ""addr:street"": ""Dr. Niederdorfer Stra\u00c3\u0178e"", ""name"": ""Auto Jumper"", ""shop"": ""car_repair"", ""address"": ""Auto Jumper Inh Egon Ganotz - Lackierzentrum, Dr.-Niederdorfer-Stra\u00dfe 20, B\u00e4rnbach, Styria 8572, Austria""}",Auto Jumper
Autohaus MÃ¼rzl,"{""addr:country"": ""AT"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""8572"", ""addr:street"": ""Hauptstra\u00c3\u0178e"", ""contact:phone"": ""+43 3142 62549"", ""designation"": ""VW Verkauf & Service, Audi Service"", ""name"": ""Autohaus M\u00c3\u00bcrzl"", ""opening_hours"": ""Mo-Fr 07:30-12:00, 12:30-16:30"", ""shop"": ""car_repair"", ""website"": ""https://www.muerzl.at/kontakt"", ""address"": ""Hauptstra\u00dfe 5, 8572 B\u00e4rnbach, Austria""}",Autohaus MÃ¼rzl
BMW-Huber,"{""name"": ""BMW-Huber"", ""shop"": ""car_repair"", ""wheelchair"": ""yes"", ""address"": ""BMW AH Huber GmbH, Brucker Stra\u00dfe 128, Bruck an der Mur, Styria 8600, Austria""}",BMW-Huber
KFZ Flucher,"{""addr:housename"": ""KFZ Flucher"", ""addr:housenumber"": ""13"", ""addr:place"": ""Narrath"", ""addr:postcode"": ""8452"", ""designation"": ""de: Kleinbus- u. PKW-Vermietung, Kraftfahrzeugtechnik"", ""name"": ""KFZ Flucher"", ""opening_hours"": ""Mo-Fr 08:00-17:00"", ""shop"": ""car_repair"", ""source"": ""survey"", ""website"": ""http://www.kfz-flucher.at/"", ""address"": ""Narrathweg 13, 8452 Sankt Johann im Saggautal, Austria""}",KFZ Flucher
Reifenprofi,"{""name"": ""Reifenprofi"", ""shop"": ""car_repair"", ""wheelchair"": ""no"", ""address"": ""Leobner Stra\u00dfe 44a, 8600 Bruck an der Mur, Austria""}",Reifenprofi
Brenning,"{""name"": ""Brenning"", ""shop"": ""car_repair"", ""address"": ""Industriegasse 2, 2822 Bad Erlach, Austria""}",Brenning
Autospengler u Lackierer Edler Franz,"{""addr:city"": ""K\u00c3\u00b6flach"", ""addr:country"": ""AT"", ""addr:housename"": ""Autospengler u Lackierer Edler Franz"", ""addr:housenumber"": ""40"", ""addr:postcode"": ""8580"", ""addr:street"": ""Packer Stra\u00c3\u0178e"", ""contact:phone"": ""+43 3144 3170"", ""name"": ""Autospengler u Lackierer Edler Franz"", ""shop"": ""car_repair"", ""address"": ""Packer Stra\u00dfe 40, 8580 K\u00f6flach, Austria""}",Autospengler u Lackierer Edler Franz
Forstinger,"{""name"": ""Forstinger"", ""shop"": ""car_repair"", ""address"": ""Am Spitz 14, 2620 Neunkirchen, Austria""}",Forstinger
Fahrradklinik,"{""addr:housename"": ""Fahrradklinik - Walter Hubmann"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""8430"", ""addr:street"": ""Quergasse"", ""designation"": ""bicycle repair"", ""name"": ""Fahrradklinik"", ""operator"": ""Walter Hubmann"", ""shop"": ""bicycle_repair"", ""website"": ""www.fahrradklinik.at.tf"", ""address"": ""Quergasse 5, 8430 Leibnitz, Austria""}",Fahrradklinik
Autohaus Harb GmbH,"{""addr:city"": ""Voitsberg"", ""addr:country"": ""AT"", ""addr:housenumber"": ""128"", ""addr:postcode"": ""8572"", ""addr:street"": ""Grazer Vorstadt"", ""brand"": ""Mercedes-Benz;KIA"", ""contact:phone"": ""+43 3142 23 923-0"", ""email"": ""office@autohaus-harb.at"", ""name"": ""Autohaus Harb GmbH"", ""old_name"": ""Nadegger GesmbH"", ""opening_hours"": ""Mo-Fr 07:30-17:30; Sa 09:00-12:00"", ""shop"": ""car_repair"", ""website"": ""http://autozentrum-harb.com/"", ""address"": ""Grazer Vorstadt 128, 8570 Voitsberg, Austria""}",Autohaus Harb GmbH
KFZ Mack,"{""addr:housenumber"": ""97"", ""addr:postcode"": ""8452"", ""addr:street"": ""Grossklein"", ""name"": ""KFZ Mack"", ""operator"": ""Klemens Mack"", ""shop"": ""car_repair"", ""website"": ""http://www.kfz-mack.at"", ""address"": ""Grossklein 97, 8452 Gro\u00dfklein, Austria""}",KFZ Mack
Kfz Hausleitner,"{""name"": ""Kfz Hausleitner"", ""shop"": ""car_repair"", ""address"": ""Gewerbestra\u00dfe 3, 8184 Anger, Austria""}",Kfz Hausleitner
KFZ-Meisterbetrieb WEISZ,"{""addr:city"": ""Spital am Pyhrn"", ""addr:country"": ""AT"", ""addr:housenumber"": ""18"", ""addr:postcode"": ""4582"", ""addr:street"": ""Pyhrnstra\u00c3\u0178e"", ""brand"": ""Hyundai"", ""contact:phone"": ""+43 7563 703 80"", ""name"": ""KFZ-Meisterbetrieb WEISZ"", ""opening_hours"": ""Mo-Th 07:30-12:00, 13:00-17:00; Fr 07:30-12:00"", ""shop"": ""car_repair"", ""website"": ""http://www.bernhardweisz.at/kontakt/"", ""address"": ""Pyhrnpass Stra\u00dfe 18, 4582 Spital am Pyhrn, Austria""}",KFZ-Meisterbetrieb WEISZ
ctc,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""68a"", ""addr:postcode"": ""8041"", ""addr:street"": ""Ziehrerstra\u00c3\u0178e"", ""contact:email"": ""info@ctc-graz.at"", ""contact:fax"": ""+43 316 42 99 44 - 44"", ""contact:phone"": ""+43 316 42 99 44"", ""full_name"": ""Car Technology Center"", ""name"": ""ctc"", ""shop"": ""car_repair"", ""source"": ""survey;Stadt Graz - data.graz.gv.at"", ""website"": ""http://ctc-graz.at/"", ""wheelchair"": ""yes"", ""address"": ""Ziehrerstra\u00dfe 68a, 8041 Graz, Austria""}",ctc
Essenko,"{""name"": ""Essenko"", ""shop"": ""car_repair"", ""address"": ""Schirmitzb\u00fchelstra\u00dfe 6, 8605 Kapfenberg, Austria""}",Essenko
VW Porsche Kapfenberg,"{""brand"": ""Volkswagen"", ""brand:wikidata"": ""Q246"", ""name"": ""VW Porsche Kapfenberg"", ""shop"": ""car_repair"", ""address"": ""Wiener Stra\u00dfe 77, 8605 Kapfenberg, Austria""}",VW Porsche Kapfenberg
LKW Huber,"{""name"": ""LKW Huber"", ""shop"": ""car_repair"", ""address"": ""Bundesstra\u00dfe 3, 8642 Sankt Lorenzen im M\u00fcrztal, Austria""}",LKW Huber
Autohaus Windbacher,"{""addr:city"": ""Kindberg"", ""addr:housenumber"": ""18"", ""addr:postcode"": ""8650"", ""addr:street"": ""Hauptstra\u00c3\u0178e"", ""name"": ""Autohaus Windbacher"", ""phone"": ""+43 3865 2101-0"", ""shop"": ""car_repair"", ""website"": ""www.windbacher.co.at"", ""address"": ""Hauptstra\u00dfe 18, 8650 Kindberg, Austria""}",Autohaus Windbacher
